startup_id,startup_name,legal_name,website,district,city,sector,sub_sector,founded_year,founders,funding_status,total_funding_usd,total_funding_inr,verification_level,confidence_score,coordinate_precision
"tns_000001","AgniKul Cosmos","Agnikul Cosmos Private Limited","https://agnikul.in","Chennai","Chennai","SpaceTech","Launch Vehicles & Propulsion","2017","Srinath Ravichandran; Moin SPM","Funded","$26.7M","₹220 Crore","4","98","VERIFIED_ADDRESS"
"tns_000002","Uniphore","Uniphore Software Systems Private Limited","https://www.uniphore.com","Chennai","Chennai","AI","Conversational AI & Speech Analytics","2008","Umesh Sachdev; Ravi Saraogi","Funded","$620M","","4","98","VERIFIED_ADDRESS"
"tns_000003","The ePlane Company","Ubifly Technologies Private Limited","https://eplane.ai","Chennai","Chennai","DeepTech","Urban Air Mobility & eVTOL","2019","Prof. Satya Chakravarthy; Pranjal Mehta","Funded","$19M","","4","98","VERIFIED_ADDRESS"
"tns_000004","Detect Technologies","Detect Technologies Private Limited","https://detecttechnologies.com","Chennai","Chennai","AI","Computer Vision & Industrial IoT","2016","Daniel Raj David; Harikrishnan AS","Funded","$32M","","4","98","VERIFIED_ADDRESS"
"tns_000005","Planys Technologies","Planys Technologies Private Limited","https://planystech.com","Chennai","Chennai","DeepTech","Underwater Robotics & Marine Tech","2015","Tanuj Jhunjhunwala; Vineet Upadhyay","Funded","$5.5M","","4","98","VERIFIED_ADDRESS"
"tns_000006","GalaxEye Space","GalaxEye Space Solutions Private Limited","https://galaxeye.space","Chennai","Chennai","SpaceTech","Earth Observation & Satellite Constellations","2021","Suyash Singh; Denil Chawda","Funded","$10M","","4","98","VERIFIED_ADDRESS"
"tns_000007","Mindgrove Technologies","Mindgrove Technologies Private Limited","https://mindgrovetech.in","Chennai","Chennai","DeepTech","Semiconductors & RISC-V Silicon","2021","Shashwath TR","Funded","$3.5M","","4","98","VERIFIED_ADDRESS"
"tns_000008","Solinas Integrity","Solinas Integrity Private Limited","https://solinas.in","Chennai","Chennai","DeepTech","Sanitation Robotics & Pipeline Inspection","2018","Divanshu Kumar; Bhavesh Narayani","Funded","$1.8M","","4","98","VERIFIED_ADDRESS"
"tns_000009","XYMA Analytics","XYMA Analytics Private Limited","https://xyma.in","Chennai","Chennai","DeepTech","Industrial Ultrasonic Wave Sensors","2019","Dr. Nishanth Raja","Funded","$2.0M","","4","98","VERIFIED_ADDRESS"
"tns_000010","Paperflite","Paperflite India Private Limited","https://www.paperflite.com","Chennai","Chennai","SaaS","Sales Enablement & Marketing SaaS","2016","Vinoth Kumar; Anant Yoganathan","Funded","$4.2M","","4","95","VERIFIED_ADDRESS"
