canonical_name,duplicate_name,match_type,similarity_score,sources_found
Heritage Living Chennai 19,Heritage Living Chennai 19 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Solar Power Chennai 37,Solar Power Chennai 37 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Zenith Cosmos Chennai 55,Zenith Cosmos Chennai 55 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Cred Wealth Chennai 73,Cred Wealth Chennai 73 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Bio Biosciences Chennai 91,Bio Biosciences Chennai 91 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Auto Automation Chennai 109,Auto Automation Chennai 109 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
EcoRide EV Chennai 127,EcoRide EV Chennai 127 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Care Health Chennai 145,Care Health Chennai 145 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Cognitive Sense Chennai 163,Cognitive Sense Chennai 163 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Skill Academy Chennai 181,Skill Academy Chennai 181 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Kisan Innovations Chennai 199,Kisan Innovations Chennai 199 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Nano Photonics Chennai 217,Nano Photonics Chennai 217 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Stack Flow Chennai 235,Stack Flow Chennai 235 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Daily Living Chennai 253,Daily Living Chennai 253 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Bio Power Chennai 271,Bio Power Chennai 271 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Cosmo Cosmos Chennai 289,Cosmo Cosmos Chennai 289 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Cred Banking Chennai 307,Cred Banking Chennai 307 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Bio Therapeutics Chennai 325,Bio Therapeutics Chennai 325 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Prime Automation Chennai 343,Prime Automation Chennai 343 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Volt EV Chennai 361,Volt EV Chennai 361 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Care Health Chennai 379,Care Health Chennai 379 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Cognitive Insights Chennai 397,Cognitive Insights Chennai 397 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Ace Academy Chennai 415,Ace Academy Chennai 415 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Kisan Spices Chennai 433,Kisan Spices Chennai 433 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Nano Photonics Chennai 451,Nano Photonics Chennai 451 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Stack Flow Chennai 469,Stack Flow Chennai 469 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
