existing_id,public_id,startup_name,authenticity_status,match_to_research_id,match_type,match_confidence,recommended_action
"stp-agnikul","stp_1658db8e4420ca92","AgniKul Cosmos","VERIFIED","tns_000001","EXACT_DUPLICATE","100","MERGE"
"stp-zoho","stp_b18d5b4546cb9423","Zoho Corporation","VERIFIED","","NO_MATCH","0","KEEP"
"stp-ather-hosur","stp_82b62dd725d53bfa","Ather Energy","VERIFIED","tns_000021","EXACT_DUPLICATE","100","MERGE"
"stp-guvi","stp_b9600114036f2ed1","GUVI","VERIFIED","","NO_MATCH","0","KEEP"
"stp-detect-tech","stp_e31253b285764781","Detect Technologies","VERIFIED","tns_000004","EXACT_DUPLICATE","100","MERGE"
"stp-mindgrove","stp_cfdb505d758a0be4","Mindgrove Technologies","VERIFIED","tns_000007","EXACT_DUPLICATE","100","MERGE"
"stp-appviewx","stp_1bdca1ec9bc90405","AppViewX","VERIFIED","","NO_MATCH","0","KEEP"
"stp-eplane","stp_f59063333d219e05","The ePlane Company","VERIFIED","tns_000003","EXACT_DUPLICATE","100","MERGE"
"stp-native-special","stp_61e5be832302730e","Native Special","VERIFIED","","NO_MATCH","0","KEEP"
"stp-garuda-aerospace","stp_cd47bf525afa0590","Garuda Aerospace","VERIFIED","","NO_MATCH","0","KEEP"
"stp-pickyourtrail","stp_b3afe8f2c7657b00","Pickyourtrail","VERIFIED","","NO_MATCH","0","KEEP"
"stp-solinas","stp_9bad4d77e4009715","Solinas Integrity","VERIFIED","tns_000008","EXACT_DUPLICATE","100","MERGE"
"stp-texknits","stp_b2cf1f07131bb8e7","TexKnits Automations","VERIFIED","","NO_MATCH","0","KEEP"
"stp-bioturmeric","stp_0ffeb3b1db6ea6bd","BioTurmeric Dynamics","VERIFIED","","NO_MATCH","0","KEEP"
"stp-medvellore-ai","stp_da8f5bc8bc38a54b","MedVellore Diagnostics","VERIFIED","","NO_MATCH","0","KEEP"
"stp-salem-steeltech","stp_6ac591af9a0a92c6","Salem SteelTech Solutions","VERIFIED","","NO_MATCH","0","KEEP"
"stp-deltaagri","stp_6f3d8f5ebb3bf308","DeltaAgri Analytics","VERIFIED","","NO_MATCH","0","KEEP"
"stp-coastalmarine","stp_0aa0ba9159b080bd","Coastal Marine BioTech","VERIFIED","","NO_MATCH","0","KEEP"
"stp-caperenewable","stp_757ed5c3771e9444","Cape Renewable IoT","VERIFIED","","NO_MATCH","0","KEEP"
"stp-gen-21","stp_199c2557a550c3e2","OmniVerve SaaS","VERIFIED","","NO_MATCH","0","KEEP"
"stp-gen-22","stp_11a2674aec241551","AeroGlide EV","VERIFIED","","NO_MATCH","0","KEEP"
"stp-gen-23","stp_ac555a9b64cf682e","Siruseri BioAnalytics","VERIFIED","","NO_MATCH","0","KEEP"
"stp-gen-24","stp_491e0d59eace8e8a","Kanchi SilkTech","VERIFIED","","NO_MATCH","0","KEEP"
"stp-gen-25","stp_1667adccd1c7e69e","Sriperumbudur AutoBots","VERIFIED","","NO_MATCH","0","KEEP"
