startup_name,district,missing_fields,verification_level,confidence_score
Stack Flow Chennai 1,Chennai,website; founded_year; founders,2,68
Aqua Energy Chennai 11,Chennai,founders,3,90
Microbe Enzymes Chennai 13,Chennai,website,2,73
Aero Cosmos Chennai 16,Chennai,founded_year,2,70
Penny Fintech Chennai 21,Chennai,founders,3,90
Ace Tutor Chennai 25,Chennai,website,2,73
Indu Automation Chennai 31,Chennai,founded_year; founders,3,88
Solar Power Chennai 37,Chennai,website,2,73
Heal Life Chennai 41,Chennai,founders,3,90
Cognitive Analytics Chennai 46,Chennai,founded_year,2,70
Spark Charging Chennai 49,Chennai,website,2,73
Skill Class Chennai 51,Chennai,founders,3,90
Nano Aerospace Chennai 61,Chennai,website; founded_year; founders,2,68
Pure Brews Chennai 71,Chennai,founders,3,90
Cred Wealth Chennai 73,Chennai,website,2,73
Carbon Recycle Chennai 76,Chennai,founded_year,2,70
Aero Cosmos Chennai 81,Chennai,founders,3,90
Cognitive Intelligence Chennai 85,Chennai,website,2,73
Bio Biosciences Chennai 91,Chennai,founded_year; founders,3,88
Urban Snacks Chennai 97,Chennai,website,2,73
Drive Motors Chennai 101,Chennai,founders,3,90
Care Therapeutics Chennai 106,Chennai,founded_year,2,70
Auto Automation Chennai 109,Chennai,website,2,73
Turing Analytics Chennai 111,Chennai,founders,3,90
Kisan Farm Chennai 121,Chennai,website; founded_year; founders,2,68
Stack Base Chennai 131,Chennai,founders,3,90
Horizon Cosmos Chennai 133,Chennai,website,2,73
Pure Living Chennai 136,Chennai,founded_year,2,70
Clean Solar Chennai 141,Chennai,founders,3,90
Care Health Chennai 145,Chennai,website,2,73
Cred Fintech Chennai 151,Chennai,founded_year; founders,3,88
Stack Flow Chennai 157,Chennai,website,2,73
Indu Automation Chennai 161,Chennai,founders,3,90
Charge Charging Chennai 166,Chennai,founded_year,2,70
SynBio Biotech Chennai 169,Chennai,website,2,73
Cardio Diagnostics Chennai 171,Chennai,founders,3,90
Skill Academy Chennai 181,Chennai,website; founded_year; founders,2,68
Photon Robotics Chennai 191,Chennai,founders,3,90
Renew Recycle Chennai 193,Chennai,website,2,73
Stack Flow Chennai 196,Chennai,founded_year,2,70
Pure Goods Chennai 201,Chennai,founders,3,90
Electro Power Chennai 205,Chennai,website,2,73
Aero Cosmos Chennai 211,Chennai,founded_year; founders,3,88
Nano Photonics Chennai 217,Chennai,website,2,73
Ferment Labs Chennai 221,Chennai,founders,3,90
Indu Automation Chennai 226,Chennai,founded_year,2,70
Cred Wallet Chennai 229,Chennai,website,2,73
Power Drives Chennai 231,Chennai,founders,3,90
Cognitive Analytics Chennai 241,Chennai,website; founded_year; founders,2,68
Crop Farm Chennai 251,Chennai,founders,3,90
Daily Living Chennai 253,Chennai,website,2,73
Nano Technologies Chennai 256,Chennai,founded_year,2,70
Stack Desk Chennai 261,Chennai,founders,3,90
Forge Automation Chennai 265,Chennai,website,2,73
Bio Power Chennai 271,Chennai,founded_year; founders,3,88
