canonical_startup_id,canonical_name,website,district,city,sector,funding_status,origin,verification_level,confidence_score
"stp_1658db8e4420ca92","AgniKul Cosmos","https://agnikul.in","Chennai","Chennai","SpaceTech","Funded","MERGED_EXISTING_AND_RESEARCH","4","98"
"stp_b18d5b4546cb9423","Zoho Corporation","https://zoho.com","Tenkasi","Mathalamparai, Tenkasi & Chennai (Estancia)","SaaS","BOOTSTRAPPED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_82b62dd725d53bfa","Ather Energy","https://www.atherenergy.com","Krishnagiri (Hosur)","Hosur","EV","Funded","MERGED_EXISTING_AND_RESEARCH","4","98"
"stp_b9600114036f2ed1","GUVI","https://guvi.in","Chennai","Chennai (IIT Madras Research Park)","EdTech","VENTURE_FUNDED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_e31253b285764781","Detect Technologies","https://detecttechnologies.com","Chennai","Chennai","AI","Funded","MERGED_EXISTING_AND_RESEARCH","4","98"
"stp_cfdb505d758a0be4","Mindgrove Technologies","https://mindgrovetech.in","Chennai","Chennai","DeepTech","Funded","MERGED_EXISTING_AND_RESEARCH","4","98"
"stp_1bdca1ec9bc90405","AppViewX","https://appviewx.com","Coimbatore","Coimbatore (Saravanampatti CHIL SEZ)","Cybersecurity","VENTURE_FUNDED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_f59063333d219e05","The ePlane Company","https://eplane.ai","Chennai","Chennai","DeepTech","Funded","MERGED_EXISTING_AND_RESEARCH","4","98"
"stp_61e5be832302730e","Native Special","https://nativespecial.com","Madurai","Madurai (KK Nagar)","Consumer","ANGEL","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_cd47bf525afa0590","Garuda Aerospace","https://garudaaerospace.com","Chennai","Chennai (Pallavaram)","Robotics","VENTURE_FUNDED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_b3afe8f2c7657b00","Pickyourtrail","https://pickyourtrail.com","Chennai","Chennai (Guindy Industrial Estate)","Consumer","VENTURE_FUNDED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_9bad4d77e4009715","Solinas Integrity","https://solinas.in","Chennai","Chennai","DeepTech","Funded","MERGED_EXISTING_AND_RESEARCH","4","98"
"stp_b2cf1f07131bb8e7","TexKnits Automations","https://texknits-example.in","Tiruppur","Tiruppur (Avinashi Road)","Manufacturing","ANGEL","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_0ffeb3b1db6ea6bd","BioTurmeric Dynamics","https://bioturmeric-example.in","Erode","Erode (Perundurai SIPCOT)","Agritech","PRE_SEED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_da8f5bc8bc38a54b","MedVellore Diagnostics","https://medvellore-example.in","Vellore","Vellore (VIT Technology Business Incubator)","HealthTech","SEED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_6ac591af9a0a92c6","Salem SteelTech Solutions","https://salemsteeltech-example.in","Salem","Salem (Steel Plant Road)","Manufacturing","SEED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_6f3d8f5ebb3bf308","DeltaAgri Analytics","https://deltaagri-example.in","Thanjavur","Thanjavur (IIFPT Incubation Cell)","Agritech","PRE_SEED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_0aa0ba9159b080bd","Coastal Marine BioTech","https://coastalmarine-example.in","Thoothukudi","Thoothukudi (Harbour Estate)","ClimateTech","SEED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_757ed5c3771e9444","Cape Renewable IoT","https://caperenewable-example.in","Kanyakumari","Nagercoil (Cape Tech Park)","ClimateTech","SEED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_199c2557a550c3e2","OmniVerve SaaS","https://omniverve-saas.in","Chengalpattu","Chengalpattu Technology Zone","SaaS","SEED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_11a2674aec241551","AeroGlide EV","https://aeroglide-ev.in","Chengalpattu","Chengalpattu Technology Zone","EV","SEED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_ac555a9b64cf682e","Siruseri BioAnalytics","https://siruseri-bioanalytics.in","Chengalpattu","Chengalpattu Technology Zone","HealthTech","SEED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_491e0d59eace8e8a","Kanchi SilkTech","https://kanchi-silktech.in","Kanchipuram","Kanchipuram Technology Zone","Manufacturing","SEED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_1667adccd1c7e69e","Sriperumbudur AutoBots","https://sriperumbudur-autobots.in","Kanchipuram","Kanchipuram Technology Zone","Robotics","SEED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_c562a1f02baaad70","HalwaTown D2C","https://halwatown-d2c.in","Tirunelveli","Tirunelveli Technology Zone","Consumer","SEED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_95b90e4d7f9df44e","Nellai Cloudworks","https://nellai-cloudworks.in","Tirunelveli","Tirunelveli Technology Zone","SaaS","BOOTSTRAPPED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_35080ba4aafcb9db","LockSmart Security","https://locksmart-security.in","Dindigul","Dindigul Technology Zone","IoT","SEED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_a1952bed4506a7d6","Sirumalai Agro Tech","https://sirumalai-agro-tech.in","Dindigul","Dindigul Technology Zone","Agritech","SEED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_3cc51b0420932dd5","EggLogistics IoT","https://egglogistics-iot.in","Namakkal","Namakkal Technology Zone","Mobility","SEED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_affce2f5f3adebf8","Namakkal TruckGrid","https://namakkal-truckgrid.in","Namakkal","Namakkal Technology Zone","Mobility","SEED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_746620dad71096ba","Sivakasi SafePrint","https://sivakasi-safeprint.in","Virudhunagar","Virudhunagar Technology Zone","Manufacturing","SEED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_618b6795e9dac419","Virudhu Commodities","https://virudhu-commodities.in","Virudhunagar","Virudhunagar Technology Zone","FinTech","SEED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_89cd5eb2cf0cb574","EcoDye Systems","https://ecodye-systems.in","Karur","Karur Technology Zone","ClimateTech","SEED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_ff73a4bbd46ebaca","BlueMountain TeaTech","https://bluemountain-teatech.in","Nilgiris","Nilgiris Technology Zone","Consumer","SEED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_687623dc7f411a5d","Ooty EcoStay Platform","https://ooty-ecostay-platform.in","Nilgiris","Nilgiris Technology Zone","Other","BOOTSTRAPPED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_841e5b16a6dfbbe5","Neyveli SolarGrid","https://neyveli-solargrid.in","Cuddalore","Cuddalore Technology Zone","ClimateTech","SEED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_2232e8700b42dc81","MangoFresh PulpTech","https://mangofresh-pulptech.in","Dharmapuri","Dharmapuri Technology Zone","Agritech","SEED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_e7b3f06e371fcb68","KallaBio Biomass","https://kallabio-biomass.in","Kallakurichi","Kallakurichi Technology Zone","ClimateTech","SEED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_883b12e730a0c407","Cauvery Heritage Craft","https://cauvery-heritage-craft.in","Mayiladuthurai","Mayiladuthurai Technology Zone","Consumer","BOOTSTRAPPED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_e8efde3a6ce4885e","AquaShield Sonar","https://aquashield-sonar.in","Nagapattinam","Nagapattinam Technology Zone","DeepTech","SEED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_a05a5d6cc6c039e0","CottonTrace AI","https://cottontrace-ai.in","Perambalur","Perambalur Technology Zone","Agritech","SEED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_5287ae7e281e5a0a","StoneCraft CNC","https://stonecraft-cnc.in","Pudukkottai","Pudukkottai Technology Zone","Manufacturing","SEED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_d2ad8c325ce5f0e6","DesalClean Tech","https://desalclean-tech.in","Ramanathapuram","Ramanathapuram Technology Zone","ClimateTech","SEED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_6bc86dd99956c49c","GreenHide BioLeather","https://greenhide-bioleather.in","Ranipet","Ranipet Technology Zone","ClimateTech","SEED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_7b83f2f8340bcf9e","Chettinad Heritage D2C","https://chettinad-heritage-d2c.in","Sivaganga","Sivaganga Technology Zone","Consumer","BOOTSTRAPPED","PRESERVED_EXISTING_UNIQUE","4","95"
