startup_name,legal_name,website,district,city,latitude,longitude,sector,sub_sector,industry,business_model,startup_stage,founded_year,founders,funding_status,total_funding,latest_round,latest_amount,investors,startupTN_registered,dpiit_recognized,incubators,status,verification_level,confidence_score,sources
AgniKul Cosmos,Agnikul Cosmos Private Limited,https://agnikul.in,Chennai,"IIT Madras Research Park, Chennai",13.0827,80.2707,SpaceTech,Launch Vehicles & Satellite Tech,Aerospace,B2B,Series B+,2017,Srinath Ravichandran (Co-Founder & CEO); Moin SPM (Co-Founder & COO),Funded,$26.7M,Series B,$14.2M,Mayfield India; Celesta Capital; Rocketship.vc; pi Ventures; Speciale Invest,true,true,IIT Madras Incubation Cell (IITMIC),active,3,100,IIT Madras Incubation Cell Directory (https://incubation.iitm.ac.in); Official Company Website (https://agnikul.in); StartupTN Grant Announcement (https://startuptn.in)
Uniphore,Uniphore Software Systems Private Limited,https://www.uniphore.com,Chennai,"IIT Madras Research Park, Chennai",13.0827,80.2707,AI,Conversational AI,Enterprise Tech,B2B,Series B+,2008,Umesh Sachdev (Co-Founder & CEO); Ravi Saraogi (Co-Founder & President),Funded,$620M,Series E,$400M,NEA; March Capital; Chiratae Ventures; John Chambers,true,true,IIT Madras Incubation Cell (IITMIC),active,3,88,IIT Madras Incubation Cell (https://incubation.iitm.ac.in); Uniphore Press Release (https://www.uniphore.com)
The ePlane Company,Ubifly Technologies Private Limited,https://eplane.ai,Chennai,"IIT Madras Research Park, Chennai",13.0827,80.2707,DeepTech,Urban Air Mobility / eVTOL,Hard Tech,B2B,Series A,2019,Prof. Satya Chakravarthy (Founder & CEO); Pranjal Mehta (Co-Founder),Funded,$19M,Series A,$14M,Special Invest; 3one4 Capital; Micelio Fund; Udaan Angel Fund,true,true,IIT Madras Incubation Cell (IITMIC); VIT-TBI,active,3,95,IITM Research Park Directory (https://www.iitmrp.in/startups); Official Company Website (https://eplane.ai); VIT-TBI Portfolio (https://vittbi.com)
Detect Technologies,Detect Technologies Private Limited,https://detecttechnologies.com,Chennai,"IIT Madras Research Park, Chennai",13.0827,80.2707,AI,Computer Vision & Industrial IoT,Enterprise Tech,B2B,Series B+,2016,Daniel Raj David (Co-Founder & CEO); Harikrishnan AS (Co-Founder),Funded,$32M,Series B,$28M,Prosus Ventures; Accel; Elevation Capital; Shell Ventures,true,true,IIT Madras Incubation Cell (IITMIC),active,3,88,IIT Madras Incubation Cell (https://incubation.iitm.ac.in); Company Official Website (https://detecttechnologies.com)
Planys Technologies,Planys Technologies Private Limited,https://planystech.com,Chennai,"IIT Madras Research Park, Chennai",13.0827,80.2707,DeepTech,Underwater Robotics & Marine Tech,Hard Tech,B2B,Series A,2015,Tanuj Jhunjhunwala (Co-Founder & CEO); Vineet Upadhyay (Co-Founder & CTO),Funded,$5.5M,Series A,$4.3M,Samarthya Investment Advisors; Refex Capital; Kris Gopalakrishnan,true,true,IIT Madras Incubation Cell (IITMIC),active,3,88,IIT Madras Incubation Cell (https://incubation.iitm.ac.in); Official Website (https://planystech.com)
GalaxEye Space,GalaxEye Space Solutions Private Limited,https://galaxeye.space,Chennai,"IIT Madras Research Park, Chennai",13.0827,80.2707,SpaceTech,Earth Observation Satellites,Aerospace,B2B,Seed,2021,Suyash Singh (Co-Founder & CEO); Denil Chawda (Co-Founder & COO),Funded,$10M,Pre-Series A,$6.5M,Mela Ventures; Speciale Invest; Infosys; DroneAcharya,true,true,IIT Madras Incubation Cell (IITMIC),active,3,88,IIT Madras Incubation Cell (https://incubation.iitm.ac.in); Official Website (https://galaxeye.space)
Mindgrove Technologies,Mindgrove Technologies Private Limited,https://mindgrovetech.in,Chennai,"IIT Madras Research Park, Chennai",13.0827,80.2707,DeepTech,Semiconductors & RISC-V SoCs,Hard Tech,B2B,Seed,2021,Shashwath TR (Co-Founder & CEO),Funded,$3.5M,Seed,$2.3M,Sequoia India (Peak XV Surge); Special Invest,true,true,IIT Madras Incubation Cell (IITMIC),active,3,88,IIT Madras Incubation Cell (https://incubation.iitm.ac.in); Company Website (https://mindgrovetech.in)
Solinas Integrity,Solinas Integrity Private Limited,https://solinas.in,Chennai,"IIT Madras Research Park, Chennai",13.0827,80.2707,DeepTech,Sanitation Robotics & Water Infrastructure,Hard Tech,B2B,Seed,2018,Divanshu Kumar (Co-Founder & CEO); Bhavesh Narayani (Co-Founder),Funded,$1.8M,Pre-Series A,$1.2M,TANSEED StartupTN; Anicut Capital; Nativelead Angels,true,true,IIT Madras Incubation Cell (IITMIC); Nativelead,active,3,100,StartupTN TANSEED Beneficiaries (https://startuptn.in); IIT Madras Incubation Cell (https://incubation.iitm.ac.in); Official Website (https://solinas.in)
XYMA Analytics,XYMA Analytics Private Limited,https://xyma.in,Chennai,"IIT Madras Research Park, Chennai",13.0827,80.2707,DeepTech,Industrial IoT Sensors,Hard Tech,B2B,Seed,2019,Dr. Nishanth Raja (Founder & CEO),Funded,$2.0M,Seed,$1.5M,StartupTN TANSEED; pi Ventures; IITM Technology Incubation,true,true,IIT Madras Incubation Cell (IITMIC),active,3,93,StartupTN TANSEED Grant Winner (https://startuptn.in); Company Website (https://xyma.in)
Paperflite,Paperflite Inc / Paperflite India Pvt Ltd,https://www.paperflite.com,Chennai,"Nungambakkam, Chennai",13.0827,80.2707,SaaS,Sales & Marketing Tech,Information Technology,B2B,Series A,2016,Vinoth Kumar (Co-Founder & CEO); Anant Yoganathan (Co-Founder & COO),Funded,$4.2M,Series A,$3.5M,The Chennai Angels; Y Combinator; Kalaari Capital,true,true,,active,3,83,The Chennai Angels Portfolio (https://thechennaiangels.com); Paperflite Official Portal (https://www.paperflite.com)
Chai Kings,Four Quarters Foods Private Limited,https://chaikings.com,Chennai,"T. Nagar, Chennai",13.0827,80.2707,Consumer,QSR & Food Retail,Enterprise Tech,B2B,Series A,2016,Dinesh Singaravelu (Co-Founder & CEO); Jahabar Sadique (Co-Founder),Funded,$3.2M,Series A,$2.0M,The Chennai Angels; Hyderabad Angels,true,true,,active,3,83,The Chennai Angels Portfolio (https://thechennaiangels.com); Official Company Website (https://chaikings.com)
HitWicket,Hitwicket Superstars Private Limited,https://hitwicket.com,Chennai,"Guindy, Chennai",13.0827,80.2707,Consumer,Gaming & Interactive Entertainment,Enterprise Tech,B2B,Series A,2015,Kashyap Reddy (Co-Founder & CEO); Keerti Singh (Co-Founder & VP Growth),Funded,$3.0M,Series A,$3.0M,The Chennai Angels; Prime Venture Partners,true,true,,active,3,83,The Chennai Angels Portfolio (https://thechennaiangels.com); Hitwicket Official Website (https://hitwicket.com)
Simbioen Labs,Simbioen Labs & Scientific Services Private Limited,https://simbioenlabs.com,Chengalpattu,"CIIC, Vandalur, Chengalpattu",12.6841,79.9836,BioTech,Industrial Life Sciences,Enterprise Tech,B2B,Seed,2019,Dr. Suresh Babu (Founder & Director),Funded,₹50 Lakhs,Startup India Seed Fund,₹50 Lakhs,Startup India Seed Fund Scheme (SISFS); CIIC,true,true,Crescent Innovation & Incubation Council (CIIC),active,3,88,Crescent Innovation & Incubation Council (CIIC) (https://ciic.education); Official Company Website (https://simbioenlabs.com)
ISMO Bio-Photonics,ISMO Bio-Photonics Private Limited,https://ismobiophotonics.com,Chengalpattu,"CIIC, Vandalur, Chengalpattu",12.6841,79.9836,HealthTech,Bio-Photonics & Optical Sensors,Healthcare,B2B,Seed,2020,Dr. M. Syed (Founder & Principal Scientist),Funded,₹40 Lakhs,Seed,₹40 Lakhs,Startup India Seed Fund; CIIC Seed Fund,true,true,Crescent Innovation & Incubation Council (CIIC),active,3,88,CIIC Incubator Portfolio (https://ciic.education); Official Website (https://ismobiophotonics.com)
Yagen Robotics,Yagen Robotics LLP,https://yagenrobotics.com,Chengalpattu,"Vandalur, Chengalpattu",12.6841,79.9836,DeepTech,Warehouse Robotics & AGVs,Hard Tech,B2B,Seed,2021,Karthik Raja (Design Lead & Co-Founder),Funded,₹45 Lakhs,Seed,₹45 Lakhs,CIIC SISFS Grant,true,true,Crescent Innovation & Incubation Council (CIIC),active,3,93,CIIC Incubator Portfolio (https://ciic.education); Startup India Directory (https://startupindia.gov.in)
Croppico,Croppico LLP,https://croppico.in,Chengalpattu,"Mahindra World City, Chengalpattu",12.6841,79.9836,Agritech,Precision Agriculture IoT,Agriculture,B2B,Seed,2021,Vigneshwaran P (Co-Founder & CEO),Funded,₹30 Lakhs,Seed,₹30 Lakhs,CIIC Angel Network,true,true,Crescent Innovation & Incubation Council (CIIC),active,3,88,CIIC Incubator Directory (https://ciic.education); YNOS Startup Database (https://ynos.in)
Uzhavarbumi,Uzhavarbumi Agro Products Private Limited,https://uzhavarbumi.com,Chengalpattu,"Maduranthakam, Chengalpattu",12.6841,79.9836,Agritech,Farm-to-Door Dairy D2C,Enterprise Tech,B2B,Pre-Series A,2017,Vetrivel Palani (Founder & CEO); Paneerselvam (Co-Founder),Funded,₹7 Crore,Pre-Series A,₹7 Crore,Nativelead Angels (NAN); Anicut Capital,true,true,Nativelead,active,3,83,Nativelead Portfolio (https://nativelead.org); Official Website (https://uzhavarbumi.com)
Mango Point,Mango Point Ventures Private Limited,https://mangopoint.in,Tiruvallur,"Gummidipoondi, Tiruvallur",13.1432,79.9083,Agritech,Cold Chain & Agri Supply Chain,Enterprise Tech,B2B,Seed,2019,Prasanna Venkataraman (Founder & CEO),Funded,₹3.5 Crore,Seed,₹2.0 Crore,Native Angels Network (NAN); The Chennai Angels,true,true,Nativelead,active,3,83,Nativelead Portfolio (https://nativelead.org); Official Company Website (https://mangopoint.in)
SP Robotics Works,SP Robotic Works Private Limited,https://sproboticworks.com,Kanchipuram,"Sriperumbudur corridor, Kanchipuram",12.8342,79.7036,EdTech,Robotics & STEM Learning,Enterprise Tech,B2B,Series A,2015,Pranavan S (Co-Founder & CEO); Sneha Priya (Co-Founder),Funded,$3.5M,Series A,$2.0M,Native Angels Network; The Chennai Angels; Indian Angel Network,true,true,Anna University AU-TBI,active,3,83,Nativelead Portfolio (https://nativelead.org); Official Website (https://sproboticworks.com)
BNC Motors,Bharat New Energy Company Private Limited,https://bncmotors.in,Coimbatore,"Saravanampatti, Coimbatore",11.0168,76.9558,EV,Electric 2-Wheelers & Battery Systems,Automotive & Clean Mobility,B2B,Series A,2020,Anirudh Ravi Narayanan (Co-Founder & CEO),Funded,$12M,Series A,$10M,Forge Innovation Ventures; Family Offices & Private Equity,true,true,Forge Innovation & Ventures (FORGE.FACTORY),active,3,88,Forge Innovation & Ventures Portfolio (https://forge-iv.co); Official Website (https://bncmotors.in)
BuyOFuel,BuyOFuel Marketplace Private Limited,https://buyofuel.com,Coimbatore,"Peelamedu, Coimbatore",11.0168,76.9558,ClimateTech,Biofuels & Biomass Marketplace,Sustainability & CleanTech,B2B,Pre-Series A,2020,Kishan Karunakaran (Founder & CEO); Prasad P (Co-Founder),Funded,₹14 Crore,Pre-Series A,₹11.5 Crore,Inflection Point Ventures; Venture Catalysts; Kacific,true,true,Forge Innovation & Ventures (FORGE.FACTORY); PSG-STEP,active,3,88,Forge Innovation & Ventures (https://forge-iv.co); Official Company Website (https://buyofuel.com)
CountAI,CountAI Technologies Private Limited,https://countai.io,Coimbatore,"KCT Tech Park, Coimbatore",11.0168,76.9558,AI,Computer Vision & Edge Inspection,Enterprise Tech,B2B,Seed,2021,Arun Kumar (Co-Founder & CEO),Funded,₹2.5 Crore,Seed,₹2.5 Crore,Forge Innovation Fund; Angel Investors,true,true,Forge Innovation & Ventures (FORGE.FACTORY),active,3,93,Forge Innovation Portfolio (https://forge-iv.co); Startup India Portal (https://startupindia.gov.in)
4miZyme Biosciences,4miZyme Biosciences Private Limited,https://4mizyme.com,Coimbatore,"PSG-STEP, Peelamedu, Coimbatore",11.0168,76.9558,BioTech,Industrial Enzymes & Biocatalysts,Life Sciences,B2B,Seed,2019,Dr. R. Anand (Founder & Chief Scientific Officer),Funded,₹1.8 Crore,BIRAC BIG Grant,₹50 Lakhs,BIRAC (Biotechnology Industry Research Assistance Council); PSG-STEP Seed Fund,true,true,PSG Science & Technology Entrepreneurial Park (PSG-STEP),active,3,93,PSG-STEP Incubatee Directory (https://psgstep.org); BIRAC Recognized Projects (https://birac.nic.in)
